   Loading spin-up weather data from file ncar_climate_formatted_AK_V3_historical_CR910_to1990.csv ...
   Converting raw data from text file: ncar_climate_formatted_AK_V3_historical_CR910_to1990.csv, Format=daily_temp-k_precip-mmday, Temporal=Daily.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2047, actualYear = 1979, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2048, actualYearUsed=1975.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2048, actualYear = 1975, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2049, actualYearUsed=1977.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2049, actualYear = 1977, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2050, actualYearUsed=1984.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2050, actualYear = 1984, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2051, actualYearUsed=1989.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2051, actualYear = 1989, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2052, actualYearUsed=1979.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2052, actualYear = 1979, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2053, actualYearUsed=1971.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2053, actualYear = 1971, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2054, actualYearUsed=1971.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2054, actualYear = 1971, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2055, actualYearUsed=1972.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2055, actualYear = 1972, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2056, actualYearUsed=1988.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2056, actualYear = 1988, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2057, actualYearUsed=1972.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2057, actualYear = 1972, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2058, actualYearUsed=1976.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2058, actualYear = 1976, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2059, actualYearUsed=1976.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2059, actualYear = 1976, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2060, actualYearUsed=1978.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2060, actualYear = 1978, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2061, actualYearUsed=1981.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2061, actualYear = 1981, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2062, actualYearUsed=1977.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2062, actualYear = 1977, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2063, actualYearUsed=1970.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2063, actualYear = 1970, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2064, actualYearUsed=1976.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2064, actualYear = 1976, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2065, actualYearUsed=1988.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2065, actualYear = 1988, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2066, actualYearUsed=1988.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2066, actualYear = 1988, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2067, actualYearUsed=1981.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2067, actualYear = 1981, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2068, actualYearUsed=1980.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2068, actualYear = 1980, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2069, actualYearUsed=1976.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2069, actualYear = 1976, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2070, actualYearUsed=1982.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2070, actualYear = 1982, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2071, actualYearUsed=1972.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2071, actualYear = 1972, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2072, actualYearUsed=1975.
  AnnualClimate_Daily: Daily_RandomYear: timeStep = 2072, actualYear = 1975, phase = SpinUp_Climate.
  Completed calculations for SpinUp_Climate using Daily_RandomYear. Ecoregion = 9, SimulatedYear = 2073, actualYearUsed=1980.
